,reward_0.2,steps_0.2,end_0.2,reward_0.4,steps_0.4,end_0.4,reward_0.6,steps_0.6,end_0.6,reward_0.8,steps_0.8,end_0.8
5870,4992.5,16,0.0,4995.0,11,0.0,-116.5,34,2.0,-144.0,89,2.0
5871,4991.5,18,0.0,4995.5,10,0.0,-121.5,44,2.0,4986.5,28,0.0
5872,4985.0,31,0.0,4993.0,15,0.0,-109.0,19,1.0,4908.0,185,0.0
5873,5000.0,1,0.0,-533.0,867,1.0,4999.0,3,0.0,-118.0,37,1.0
5874,4995.0,11,0.0,4988.0,25,0.0,4951.5,98,0.0,-130.0,61,2.0
5875,4985.5,30,0.0,4947.5,106,0.0,4973.0,55,0.0,4973.5,54,0.0
5876,4993.5,14,0.0,4961.5,78,0.0,4979.5,42,0.0,4970.5,60,0.0
5877,4995.0,11,0.0,4996.0,9,0.0,-138.0,77,2.0,-126.5,54,2.0
5878,4989.0,23,0.0,4998.5,4,0.0,4983.0,35,0.0,4953.0,95,0.0
5879,4992.5,16,0.0,-100.5,2,2.0,4984.5,32,0.0,4943.0,115,0.0
5880,4997.5,6,0.0,4970.5,60,0.0,4955.5,90,0.0,4995.0,11,0.0
5881,4906.5,188,0.0,-298.0,397,1.0,-153.5,108,2.0,4967.5,66,0.0
5882,4998.0,5,0.0,4990.5,20,0.0,4996.5,8,0.0,-118.5,38,2.0
5883,4967.0,67,0.0,4997.5,6,0.0,-128.0,57,2.0,4986.0,29,0.0
5884,-142.5,86,2.0,4992.5,16,0.0,4981.5,38,0.0,-123.5,48,2.0
5885,4992.5,16,0.0,4990.0,21,0.0,5000.0,1,0.0,4996.0,9,0.0
5886,4991.5,18,0.0,4993.5,14,0.0,-114.5,30,1.0,4976.5,48,0.0
5887,4881.0,239,0.0,-145.0,91,2.0,4935.5,130,0.0,4983.5,34,0.0
5888,4998.0,5,0.0,-100.5,2,2.0,-103.0,7,2.0,4995.0,11,0.0
5889,4998.0,5,0.0,4993.5,14,0.0,-104.5,10,2.0,4988.0,25,0.0
5890,4995.5,10,0.0,4994.5,12,0.0,-111.5,24,2.0,-154.5,110,2.0
5891,4683.5,634,0.0,4997.0,7,0.0,4852.0,297,0.0,4965.5,70,0.0
5892,4988.5,24,0.0,4974.5,52,0.0,-148.5,98,2.0,4953.5,94,0.0
5893,4985.5,30,0.0,4958.5,84,0.0,4991.5,18,0.0,4982.0,37,0.0
5894,4993.0,15,0.0,4975.5,50,0.0,4992.0,17,0.0,-148.5,98,2.0
5895,-110.5,22,1.0,4998.5,4,0.0,-174.5,150,2.0,4963.0,75,0.0
